Index	V	I	R	T_coldhead	T_sample
264.000	0.097	0.010	9.742	8.150	9.187
265.000	0.098	0.010	9.751	8.150	9.194
266.000	0.098	0.010	9.761	8.172	9.194
267.000	0.098	0.010	9.757	8.172	9.201
268.000	0.098	0.010	9.756	8.194	9.201
269.000	0.098	0.010	9.761	8.194	9.210
270.000	0.098	0.010	9.764	8.214	9.210
271.000	0.098	0.010	9.758	8.214	9.218
272.000	0.098	0.010	9.756	8.235	9.218
273.000	0.098	0.010	9.770	8.235	9.226
274.000	0.098	0.010	9.752	8.258	9.226
275.000	0.097	0.010	9.743	8.258	9.235
276.000	0.097	0.010	9.743	8.283	9.235
277.000	0.098	0.010	9.763	8.283	9.245
278.000	0.097	0.010	9.749	8.309	9.245
279.000	0.097	0.010	9.747	8.333	9.255
280.000	0.097	0.010	9.746	8.333	9.255
281.000	0.097	0.010	9.742	8.356	9.264
282.000	0.097	0.010	9.738	8.356	9.264
283.000	0.097	0.010	9.733	8.379	9.274
284.000	0.097	0.010	9.738	8.379	9.274
285.000	0.097	0.010	9.748	8.402	9.284
286.000	0.097	0.010	9.742	8.402	9.284
287.000	0.097	0.010	9.737	8.424	9.295
288.000	0.097	0.010	9.748	8.424	9.295
289.000	0.097	0.010	9.740	8.444	9.305
290.000	0.097	0.010	9.743	8.444	9.305
291.000	0.097	0.010	9.748	8.466	9.315
292.000	0.097	0.010	9.737	8.466	9.315
293.000	0.098	0.010	9.751	8.491	9.326
294.000	0.097	0.010	9.741	8.491	9.326
295.000	0.097	0.010	9.743	8.518	9.338
296.000	0.097	0.010	9.740	8.518	9.349
297.000	0.098	0.010	9.755	8.545	9.349
298.000	0.097	0.010	9.750	8.545	9.361
299.000	0.098	0.010	9.754	8.572	9.361
300.000	0.098	0.010	9.763	8.572	9.372
301.000	0.098	0.010	9.755	8.597	9.372
302.000	0.098	0.010	9.761	8.597	9.384
303.000	0.097	0.010	9.749	8.621	9.384
304.000	0.098	0.010	9.750	8.621	9.396
305.000	0.097	0.010	9.743	8.645	9.396
306.000	0.098	0.010	9.752	8.645	9.408
307.000	0.097	0.010	9.743	8.669	9.408
308.000	0.097	0.010	9.745	8.669	9.420
309.000	0.098	0.010	9.763	8.691	9.420
310.000	0.097	0.010	9.744	8.691	9.432
311.000	0.098	0.010	9.755	8.714	9.432
312.000	0.097	0.010	9.746	8.738	9.445
313.000	0.097	0.010	9.748	8.738	9.445
314.000	0.098	0.010	9.761	8.765	9.458
315.000	0.098	0.010	9.756	8.765	9.458
316.000	0.098	0.010	9.753	8.792	9.470
317.000	0.097	0.010	9.755	8.792	9.470
318.000	0.098	0.010	9.755	8.819	9.483
319.000	0.098	0.010	9.761	8.819	9.483
320.000	0.097	0.010	9.742	8.844	9.497
321.000	0.097	0.010	9.743	8.844	9.497
322.000	0.097	0.010	9.749	8.870	9.510
323.000	0.098	0.010	9.753	8.870	9.510
324.000	0.097	0.010	9.740	8.895	9.524
325.000	0.097	0.010	9.734	8.895	9.524
326.000	0.098	0.010	9.751	8.920	9.538
327.000	0.098	0.010	9.756	8.920	9.538
328.000	0.098	0.010	9.756	8.944	9.552
329.000	0.097	0.010	9.747	8.944	9.552
330.000	0.097	0.010	9.747	8.968	9.566
331.000	0.098	0.010	9.752	8.968	9.566
332.000	0.097	0.010	9.736	8.993	9.580
333.000	0.098	0.010	9.757	8.993	9.580
334.000	0.098	0.010	9.756	9.021	9.595
335.000	0.097	0.010	9.751	9.021	9.611
336.000	0.097	0.010	9.744	9.050	9.611
337.000	0.097	0.010	9.742	9.050	9.627
338.000	0.097	0.010	9.744	9.078	9.627
339.000	0.097	0.010	9.749	9.078	9.643
340.000	0.098	0.010	9.752	9.078	9.643
341.000	0.098	0.010	9.752	9.078	9.659
342.000	0.097	0.010	9.750	9.078	9.659
343.000	0.097	0.010	9.749	9.078	9.676
344.000	0.098	0.010	9.757	11.128	9.676
345.000	0.097	0.010	9.748	11.128	9.693
346.000	0.098	0.010	9.757	11.127	9.693
347.000	0.098	0.010	9.754	11.125	9.710
348.000	0.098	0.010	9.762	11.125	9.710
349.000	0.098	0.010	9.771	11.123	9.727
350.000	0.098	0.010	9.751	11.123	9.727
351.000	0.098	0.010	9.755	11.124	9.744
352.000	0.098	0.010	9.754	11.124	9.744
353.000	0.097	0.010	9.747	11.130	9.762
354.000	0.098	0.010	9.758	11.130	9.762
355.000	0.098	0.010	9.769	11.137	9.780
356.000	0.098	0.010	9.752	11.137	9.780
357.000	0.098	0.010	9.759	11.143	9.798
358.000	0.098	0.010	9.757	11.143	9.816
359.000	0.097	0.010	9.744	11.148	9.816
360.000	0.098	0.010	9.756	11.148	9.834
361.000	0.097	0.010	9.749	11.152	9.834
362.000	0.098	0.010	9.751	11.152	9.852
363.000	0.098	0.010	9.757	11.156	9.852
364.000	0.097	0.010	9.744	11.156	9.871
365.000	0.097	0.010	9.746	11.160	9.871
366.000	0.097	0.010	9.759	11.160	9.890
367.000	0.097	0.010	9.740	11.162	9.890
368.000	0.097	0.010	9.744	11.164	9.909
369.000	0.097	0.010	9.741	11.164	9.909
370.000	0.097	0.010	9.742	11.168	9.927
371.000	0.097	0.010	9.742	11.168	9.927
372.000	0.097	0.010	9.739	11.177	9.946
373.000	0.097	0.010	9.747	11.177	9.946
374.000	0.097	0.010	9.747	11.188	9.965
375.000	0.098	0.010	9.753	11.188	9.965
376.000	0.097	0.010	9.738	11.197	9.985
377.000	0.097	0.010	9.744	11.197	9.985
378.000	0.098	0.010	9.753	11.205	10.004
379.000	0.097	0.010	9.746	11.205	10.024
380.000	0.098	0.010	9.757	11.213	10.024
381.000	0.098	0.010	9.750	11.213	10.044
382.000	0.098	0.010	9.742	11.220	10.044
383.000	0.098	0.010	9.752	11.220	10.064
384.000	0.098	0.010	9.767	11.226	10.064
385.000	0.097	0.010	9.746	11.226	10.085
386.000	0.098	0.010	9.755	11.232	10.085
387.000	0.098	0.010	9.751	11.232	10.106
388.000	0.098	0.010	9.758	11.236	10.106
389.000	0.098	0.010	9.762	11.236	10.126
